run_id,condition,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,phase,block,trial,rewarded,image,unrewarded_left_trials,unrewarded_right_trials,task,correct_shape,response,correct,did_reward,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,58,79031,0.0-3.0-0.0-0.6,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,1286.9599999976344,"<img src=""7S_10C_yellow6.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,59,80322,0.0-3.0-0.0-1.6,test,1,7,0,7S_10C_yellow6.jpg,0,1,respond,circles,circles,true,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,60,81829,0.0-3.0-0.0-3.6-0.6,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,61,82344,0.0-3.0-0.0-0.7,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,1056.830000015907,"<img src=""7C_10S_yellow5.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,62,83403,0.0-3.0-0.0-1.7,test,1,8,1,7C_10S_yellow5.jpg,0,1,respond,squares,squares,true,true,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,63,84919,0.0-3.0-0.0-2.7-0.7,test,1,"""","""","""","""","""",reward-feedback,"""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,64,85433,0.0-3.0-0.0-0.8,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,709.1150000342168,"<img src=""7S_10C_yellow9.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,65,86143,0.0-3.0-0.0-1.8,test,1,9,0,7S_10C_yellow9.jpg,0,1,respond,circles,circles,true,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"""",null,html-keyboard-response,66,87656,0.0-3.0-0.0-3.8-0.8,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,67,88170,0.0-3.0-0.0-0.9,test,1,"""","""","""","""","""","""","""","""","""","""","2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
2,1,675.9750000201166,"<img src=""7S_10C_yellow10.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,68,88848,0.0-3.0-0.0-1.9,test,1,10,1,7S_10C_yellow10.jpg,0,1,respond,circles,squares,false,false,"2020-11-25 18:44:03",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
